element_type,file,line,snippet,context
"input[type=""number""]",src/features/manifest-editor/components/inspector/primitives/IllustrationProperties.tsx,52,"<input \n                    type=""number"" value={size.height} \n                    onChange={(e) => onUpdate({ presentation: { ...pres, size: { ...size, height: Number(e.target.value) } } } as Parti","</div> <div className=""space-y-1""> <span className=""text-[7px] font-bold opacity-50 uppercase"">Height (px)</span>"
button,src/features/manifest-editor/components/inspector/primitives/KnobProperties.tsx,54,"<button\n                key={s.id}\n                onClick={() => updateStyle(s.id, s.aesthetics)}\n                className={`group py-2.5 px-4 rounded-xs border text-[10px] font-black uppercase t","<div className=""grid grid-cols-1 gap-1.5""> {/* eslint-disable-next-line @typescript-eslint/no-explicit-any */} {knobStyl"
button,src/features/manifest-editor/components/inspector/primitives/PortProperties.tsx,56,"<button\n                key={s.id}\n                onClick={() => updateStyle(s.id, s.aesthetics)}\n                className={`group py-2.5 px-4 rounded-xs border text-[10px] font-black uppercase t","{portStyles.length > 0 ? ( <div className=""grid grid-cols-1 gap-1.5""> {portStyles.map(s => ("
button,src/features/manifest-editor/components/inspector/primitives/SelectProperties.tsx,59,"<button\n              key={id}\n              onClick={() => applyPreset(id)}\n              className=""flex items-center gap-3 p-2 bg-black/40 border border-outline/10 rounded-xs hover:border-primar","</label> <div className=""grid grid-cols-2 gap-2""> {Object.entries(INDUSTRIAL_PRESETS).map(([id, p]) => ("
button,src/features/manifest-editor/components/inspector/primitives/SelectProperties.tsx,86,"<button \n            onClick={addOption}\n            className=""flex items-center gap-1.5 px-2 py-1 bg-primary/10 border border-primary/20 rounded-xs text-primary hover:bg-primary/20 transition-all""","<List className=""w-3 h-3 text-primary"" /> <span>Custom Option Registry</span> </label>"
button,src/features/manifest-editor/components/inspector/primitives/SelectProperties.tsx,126,"<button \n                onClick={() => updateOptions(options.filter((_: SelectOption, i: number) => i !== idx))}\n                className=""p-2 text-foreground/20 hover:text-red-400 hover:bg-red-50",/> </div> </div>
"input[type=""text""]",src/features/manifest-editor/components/inspector/primitives/SelectProperties.tsx,101,"<input \n                     type=""text"" \n                     value={opt.label}\n                     onChange={(e) => {","<div className=""flex-1 flex gap-px bg-black/40 border border-outline/10 rounded-xs overflow-hidden focus-within:border-p"
"input[type=""number""]",src/features/manifest-editor/components/inspector/primitives/SelectProperties.tsx,114,"<input \n                     type=""number"" \n                     value={opt.value}\n                     onChange={(e) => {","</div> <div className=""flex items-center gap-1.5 px-2 w-24""> <Hash className=""w-2.5 h-2.5 text-foreground/20"" />"
button,src/features/manifest-editor/components/inspector/primitives/SliderProperties.tsx,90,"<button\n              key={c.id}\n              onClick={() => updateVariant(size, c.id)}\n              className={`p-2 border rounded-xs transition-all flex flex-col items-center gap-2 ${\n        ","</label> <div className=""grid grid-cols-4 gap-2""> {caps.map((c) => ("
button,src/features/manifest-editor/components/inspector/primitives/SwitchProperties.tsx,67,"<button\n              key={s.id}\n              onClick={() => updateVariant(s.id, color)}\n              className={`w-full p-3 border rounded-xs transition-all flex flex-col items-start gap-1 gr","</label> <div className=""space-y-2""> {styles.map((s) => ("
button,src/features/manifest-editor/components/inspector/primitives/SwitchProperties.tsx,96,"<button\n              key={c.id}\n              onClick={() => updateVariant(style, c.id)}\n              className={`p-2 border rounded-xs transition-all flex items-center gap-2 ${\n            ","</label> <div className=""grid grid-cols-2 gap-2""> {colors.map((c) => ("
button,src/features/manifest-editor/components/inspector/PropertyPanel.tsx,375,<button\n                  onClick={toggleSimulation}\n                  className={`flex items-center gap-1.5 px-3 py-1.5 rounded-xs text-[8px] font-bold uppercase transition-all duration-300 ${isP,"<div className=""text-[9px] font-black uppercase tracking-wider text-white"">Client LFO Simulation</div> <div className=""t"
button,src/features/manifest-editor/components/inspector/sections/AestheticSection.tsx,124,<button \n                  onClick={() => setShowSource(!showSource)}\n                  className={`flex items-center gap-1.5 px-2 py-1 rounded-xs border transition-all ${showSource ? 'bg-accent/20 ,"{elementDef?.description || 'Unregistered UI primitive. Specialized governance may be limited.'} </p> <div className=""fl"
