Severity,File,Line,Pattern,Content
LOW,"src\types\cell-conversion.ts",467,"validate","export function validatePrimitive(primitive: PrimitiveNode): string[] {"
LOW,"src\types\cell-conversion.ts",482,"validate","export function validateStructuralModule(module: StructuralModule): string[] {"
LOW,"docs\adr\ADR-043-unified-cell-blueprint-governance.md",75,"ElementCatalog","import { OMEGA_ELEMENT_CATALOG } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"docs\adr\ADR-043-unified-cell-blueprint-governance.md",83,"throw new Error","throw new Error(`Unknown cell type: ${node.cellRef}`);"
LOW,"docs\adr\ADR-043-unified-cell-blueprint-governance.md",78,"validate","validate(nodes; manifest) {"
LOW,"docs\adr\ADR-043-unified-cell-blueprint-governance.md",103,"validate","static validate(nodes: OmegaNode[]; context: UCAValidationContext): void {"
LOW,"docs\adr\ADR-044-validate-behavior-recipes-in-blueprints.md",71,"validate","static validateQuietly("
LOW,"docs\adr\ADR-044-validate-behavior-recipes-in-blueprints.md",95,"validate","function validateBehavior(cell: CompositeCell; manifest: OMEGA_Manifest): string[] {"
LOW,"docs\adr\ADR-044-validate-behavior-recipes-in-blueprints.md",156,"validate","function validateLayerOrdering(recipe: LayerRecipe): string[] {"
LOW,"docs\adr\ADR-044-validate-behavior-recipes-in-blueprints.md",170,"validate","function validateBlendMode(layer: LayerRecipe['layers'][0]; assetDef: OMEGA_Asset): string[] {"
LOW,"docs\adr\ADR-044-validate-behavior-recipes-in-blueprints.md",226,"validate","const result = BlueprintValidator.validateQuietly(nodes; manifest);"
LOW,"docs\adr\ADR-044-validate-behavior-recipes-in-blueprints.md",229,"validate","const result = BlueprintValidator.validateQuietly(nodes; manifest; {"
LOW,"docs\adr\ADR-044-validate-behavior-recipes-in-blueprints.md",240,"validate","const behaviorResult = validateBehavior(nodes; manifest);"
LOW,"docs\adr\ADR-045-cell-studio-architecture-refactor.md",96,"validate","BlueprintValidator.validateQuietly(entityToNode(cellData); { resources: manifest?.resources });"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",12,"ElementCatalog","Phase 20.4 introduced the BlueprintValidator class for OMEGA UCA structural integrity and invariant compliance. As OMEGA evolved through ADR-043 (ElementCatalog Enrichment) and ADR-046 (Cell Types); the need arose to validate node styles against the catalog's `validationRules` before instantiation."
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",30,"ElementCatalog","Integrate BlueprintValidator with ElementCatalog to perform runtime validation of node styles; variants; behaviors; and slot mappings against the enriched catalog definitions."
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",66,"ElementCatalog","| `src/omega-ui-core/governance/ElementCatalog.ts` | Enhanced with validation helpers |"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",68,"ElementCatalog","### Imports from ElementCatalog"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",80,"ElementCatalog","} from '../governance/ElementCatalog';"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",87,"ElementCatalog","Validates a node's style against the ElementCatalog:"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",308,"ElementCatalog","2. **Centralized validation logic**: `validateValueAgainstRule()` is defined once and used by both ElementCatalog (for standalone style validation) and BlueprintValidator (for node validation)."
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",322,"ElementCatalog","3. **Tight coupling**: BlueprintValidator now depends on ElementCatalog's internal structure."
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",332,"ElementCatalog","- [ADR-043: ElementCatalog Enrichment](./ADR-043-Catalog-Enrichment.md)"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",336,"ElementCatalog","- `src/omega-ui-core/governance/ElementCatalog.ts`"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",35,"validate","BlueprintValidator.validateQuietly()"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",37,"validate","└── validateStyleAgainstCatalog()  ← NEW"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",39,"validate","├── validateValueAgainstRule() for each rule"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",47,"validate","1. **Schema-based validation (no functions in catalog)**: The catalog stores `ValidationRule` objects with serializable configs. The `validateValueAgainstRule()` function is implemented in code; not stored in the catalog."
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",85,"validate","#### `validateStyleAgainstCatalog(node; errors; warnings)`"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",91,"validate","- Call `validateValueAgainstRule(value; rule)`"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",251,"validate","const result = BlueprintValidator.validateQuietly(node; manifest);"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",267,"validate","const result = BlueprintValidator.validateQuietly(node; manifest);"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",282,"validate","const result = BlueprintValidator.validateQuietly(node; manifest);"
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",308,"validate","2. **Centralized validation logic**: `validateValueAgainstRule()` is defined once and used by both ElementCatalog (for standalone style validation) and BlueprintValidator (for node validation)."
LOW,"docs\adr\ADR-047-BlueprintValidator-Catalog-Integration.md",342,"validate","- The `validateValueAgainstRule()` function uses a switch on `rule.type` with schema-based validation; avoiding function storage in the catalog."
LOW,"docs\ADR-011.md",54,"reject","- **Drag and drop insertion** into compatible containers; with visible acceptance or rejection states according to compatibility metadata and structural rules."
LOW,"docs\ADR-027-transactional-editing.md",16,"reject","4. **Automatic Rollback**: If validation fails or the bridge rejects the committed state; the transaction is discarded; and the system reverts to the state prior to `startTransaction()`."
LOW,"docs\archive\implemented-adrs\ADR-011.md",54,"reject","- **Drag and drop insertion** into compatible containers; with visible acceptance or rejection states according to compatibility metadata and structural rules."
LOW,"docs\archive\implemented-adrs\ADR-027-transactional-editing.md",16,"reject","4. **Automatic Rollback**: If validation fails or the bridge rejects the committed state; the transaction is discarded; and the system reverts to the state prior to `startTransaction()`."
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",154,"throw new Error","throw new Error(result.errors.join('\n')); // Just use validate()!"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",10,"validate","During Phase 20.4 (Blueprint Runtime Instantiation); the `BlueprintValidator` class was refactored to support two distinct validation modes. Previously; the validator only offered a `validate()` method that throws on any validation error. This was appropriate for blocking/gatekeeper scenarios; but inadequate for use cases where the user needs to see all validation issues at once (e.g.; import wizards; pre-flight checks; auditing)."
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",18,"validate","### 1. `validate()` — Blocking/Gatekeeper Mode"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",21,"validate","public static validate(nodes: OmegaNode | OmegaNode[]; manifest: Partial<OMEGA_Manifest>): void"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",37,"validate","BlueprintValidator.validate(canonicalGraph; manifest);"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",42,"validate","### 2. `validateQuietly()` — Non-Fatal/Informational Mode"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",45,"validate","public static validateQuietly(nodes: OmegaNode | OmegaNode[]; manifest: Partial<OMEGA_Manifest>): {"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",75,"validate","const result = BlueprintValidator.validateQuietly(userBlueprint; manifest);"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",113,"validate","- **Backward Compatibility**: Existing `validate()` callers continue to work unchanged"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",114,"validate","- **Testability**: `validateQuietly()` returns structured data easily assertable in unit tests"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",121,"validate","- **Warnings May Be Ignored**: Callers using `validateQuietly()` might not handle warnings — consider logging warnings even when `valid=true` to ensure they're captured"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",129,"validate","1. **Backward Compatibility**: All existing `validate()` callers work unchanged (omegaRPCBridge; historyRestore; useDocumentOrchestrator)"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",136,"validate","### When to Use `validate()` (Blocking)"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",141,"validate","### When to Use `validateQuietly()` (Non-Fatal)"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",148,"validate","Do NOT use `validateQuietly()` then manually throw based on `result.valid` — this adds complexity without benefit:"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",152,"validate","const result = BlueprintValidator.validateQuietly(nodes; manifest);"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",154,"validate","throw new Error(result.errors.join('\n')); // Just use validate()!"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",157,"validate","// CORRECT: Use validate() directly for gatekeeper scenarios"
LOW,"docs\archive\implemented-adrs\ADR-041-dual-mode-validation.md",158,"validate","BlueprintValidator.validate(nodes; manifest); // Simpler; same effect"
LOW,"docs\archive\implemented-adrs\ADR-042-two-phase-validation.md",26,"validate","const { valid; errors } = validateBlueprint(blueprint);"
LOW,"docs\archive\implemented-adrs\ADR-042-two-phase-validation.md",34,"validate","**Validator:** `validateBlueprint()` from blueprintUtils.ts"
LOW,"docs\archive\implemented-adrs\ADR-042-two-phase-validation.md",49,"validate","const validationResult = BlueprintValidator.validateQuietly(blueprint.rootNode; manifestWithResources);"
LOW,"docs\archive\implemented-adrs\ADR-042-two-phase-validation.md",53,"validate","**Validator:** `BlueprintValidator.validateQuietly()` with manifest resources"
LOW,"docs\archive\implemented-adrs\ADR-042-two-phase-validation.md",70,"validate","Phase 1: validateBlueprint() (structural)"
LOW,"docs\archive\implemented-adrs\ADR-042-two-phase-validation.md",79,"validate","Phase 2: BlueprintValidator.validateQuietly() (deep)"
LOW,"docs\archive\implemented-adrs\ADR-042-two-phase-validation.md",112,"validate","const { valid; errors } = validateBlueprint(blueprint);"
LOW,"docs\archive\implemented-adrs\ADR-042-two-phase-validation.md",120,"validate","const validationResult = BlueprintValidator.validateQuietly("
LOW,"docs\archive\implemented-adrs\ADR-042-two-phase-validation.md",197,"validate","- **ADR-041 (Dual-Mode Validation)**: Phase 2 uses `validateQuietly()` instead of `validate()` to enable warning handling"
LOW,"docs\archive\implemented-adrs\ADR-042-two-phase-validation.md",198,"validate","- **ADR-024 (Blueprint Runtime Instantiation)**: Runtime validation uses `validate()` (blocking) instead; appropriate for gatekeeper scenarios"
LOW,"docs\archive\implemented-adrs\ADR-042-two-phase-validation.md",207,"validate","BlueprintValidator.validateQuietly(blueprint.rootNode; manifest);"
LOW,"docs\archive\implemented-adrs\ADR-042-two-phase-validation.md",214,"validate","const { valid; errors } = validateBlueprint(blueprint);"
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",22,"allowedFragments","allowedFragments?: string[];   // Advisory only - not enforced"
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",68,"allowedFragments","- Current: `allowedFragments` is advisory string array only"
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",122,"allowedFragments","// Slot definitions (replaces allowedFragments advisory)"
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",220,"allowedFragments","// Replace allowedFragments with proper slot definitions"
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",227,"allowedFragments","// Remove allowedFragments (or deprecate it)"
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",271,"allowedFragments","1. **Backward Compatibility**: `allowedFragments` kept as deprecated; `slots` takes precedence"
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",292,"allowedFragments","1. Should `allowedFragments` be deprecated or kept for backward compatibility?"
